group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 2 part 2,,,,,1272989.0,ns,2
day 2 part 2,,,,,2468773.0,ns,4
day 2 part 2,,,,,3874872.0,ns,6
day 2 part 2,,,,,5187364.0,ns,8
day 2 part 2,,,,,5974119.0,ns,10
day 2 part 2,,,,,7684939.0,ns,12
day 2 part 2,,,,,8635105.0,ns,14
day 2 part 2,,,,,10219717.0,ns,16
day 2 part 2,,,,,10945368.0,ns,18
day 2 part 2,,,,,12778996.0,ns,20
day 2 part 2,,,,,13868673.0,ns,22
day 2 part 2,,,,,15535290.0,ns,24
day 2 part 2,,,,,19251350.0,ns,26
day 2 part 2,,,,,18018764.0,ns,28
day 2 part 2,,,,,21157384.0,ns,30
day 2 part 2,,,,,20094409.0,ns,32
day 2 part 2,,,,,21731124.0,ns,34
day 2 part 2,,,,,22439074.0,ns,36
day 2 part 2,,,,,23768867.0,ns,38
day 2 part 2,,,,,25210168.0,ns,40
day 2 part 2,,,,,26052327.0,ns,42
day 2 part 2,,,,,27203208.0,ns,44
day 2 part 2,,,,,28060969.0,ns,46
day 2 part 2,,,,,31064878.0,ns,48
day 2 part 2,,,,,31986244.0,ns,50
day 2 part 2,,,,,33770668.0,ns,52
day 2 part 2,,,,,33861875.0,ns,54
day 2 part 2,,,,,36329148.0,ns,56
day 2 part 2,,,,,36847884.0,ns,58
day 2 part 2,,,,,37985364.0,ns,60
day 2 part 2,,,,,42153057.0,ns,62
day 2 part 2,,,,,41499110.0,ns,64
day 2 part 2,,,,,41719326.0,ns,66
day 2 part 2,,,,,43651862.0,ns,68
day 2 part 2,,,,,46733178.0,ns,70
day 2 part 2,,,,,44937952.0,ns,72
day 2 part 2,,,,,47221812.0,ns,74
day 2 part 2,,,,,47754449.0,ns,76
day 2 part 2,,,,,48640412.0,ns,78
day 2 part 2,,,,,50221822.0,ns,80
day 2 part 2,,,,,51623321.0,ns,82
day 2 part 2,,,,,57384025.0,ns,84
day 2 part 2,,,,,54596929.0,ns,86
day 2 part 2,,,,,60503143.0,ns,88
day 2 part 2,,,,,59235455.0,ns,90
day 2 part 2,,,,,58276087.0,ns,92
day 2 part 2,,,,,60784564.0,ns,94
day 2 part 2,,,,,61611621.0,ns,96
day 2 part 2,,,,,61786634.0,ns,98
day 2 part 2,,,,,68409498.0,ns,100
day 2 part 2,,,,,65038761.0,ns,102
day 2 part 2,,,,,65287979.0,ns,104
day 2 part 2,,,,,69384667.0,ns,106
day 2 part 2,,,,,67792855.0,ns,108
day 2 part 2,,,,,70626053.0,ns,110
day 2 part 2,,,,,72505686.0,ns,112
day 2 part 2,,,,,76816487.0,ns,114
day 2 part 2,,,,,78044174.0,ns,116
day 2 part 2,,,,,78394099.0,ns,118
day 2 part 2,,,,,77786755.0,ns,120
day 2 part 2,,,,,77081607.0,ns,122
day 2 part 2,,,,,77381427.0,ns,124
day 2 part 2,,,,,79349565.0,ns,126
day 2 part 2,,,,,85408423.0,ns,128
day 2 part 2,,,,,82731145.0,ns,130
day 2 part 2,,,,,83176878.0,ns,132
day 2 part 2,,,,,83851624.0,ns,134
day 2 part 2,,,,,86015378.0,ns,136
day 2 part 2,,,,,86561616.0,ns,138
day 2 part 2,,,,,93660117.0,ns,140
day 2 part 2,,,,,90605702.0,ns,142
day 2 part 2,,,,,99490829.0,ns,144
day 2 part 2,,,,,104153760.0,ns,146
day 2 part 2,,,,,93580412.0,ns,148
day 2 part 2,,,,,105548158.0,ns,150
day 2 part 2,,,,,95757866.0,ns,152
day 2 part 2,,,,,96206598.0,ns,154
day 2 part 2,,,,,98077830.0,ns,156
day 2 part 2,,,,,100291987.0,ns,158
day 2 part 2,,,,,105716869.0,ns,160
day 2 part 2,,,,,103476312.0,ns,162
day 2 part 2,,,,,112422744.0,ns,164
day 2 part 2,,,,,104728900.0,ns,166
day 2 part 2,,,,,105121827.0,ns,168
day 2 part 2,,,,,112150325.0,ns,170
day 2 part 2,,,,,106403518.0,ns,172
day 2 part 2,,,,,111151854.0,ns,174
day 2 part 2,,,,,114352380.0,ns,176
day 2 part 2,,,,,115186239.0,ns,178
day 2 part 2,,,,,118151848.0,ns,180
day 2 part 2,,,,,115728678.0,ns,182
day 2 part 2,,,,,125448064.0,ns,184
day 2 part 2,,,,,117267286.0,ns,186
day 2 part 2,,,,,124765015.0,ns,188
day 2 part 2,,,,,125374059.0,ns,190
day 2 part 2,,,,,129220131.0,ns,192
day 2 part 2,,,,,123248808.0,ns,194
day 2 part 2,,,,,133824956.0,ns,196
day 2 part 2,,,,,136700559.0,ns,198
day 2 part 2,,,,,133206912.0,ns,200
