group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 6 part 2,,,,,994272.0,ns,59
day 6 part 2,,,,,1964141.0,ns,118
day 6 part 2,,,,,2953112.0,ns,177
day 6 part 2,,,,,3933683.0,ns,236
day 6 part 2,,,,,4912253.0,ns,295
day 6 part 2,,,,,5912924.0,ns,354
day 6 part 2,,,,,6873394.0,ns,413
day 6 part 2,,,,,7922969.0,ns,472
day 6 part 2,,,,,8876638.0,ns,531
day 6 part 2,,,,,9912012.0,ns,590
day 6 part 2,,,,,10906484.0,ns,649
day 6 part 2,,,,,11812248.0,ns,708
day 6 part 2,,,,,12847423.0,ns,767
day 6 part 2,,,,,13784190.0,ns,826
day 6 part 2,,,,,14733759.0,ns,885
day 6 part 2,,,,,15776433.0,ns,944
day 6 part 2,,,,,16786706.0,ns,1003
day 6 part 2,,,,,17768776.0,ns,1062
day 6 part 2,,,,,18776349.0,ns,1121
day 6 part 2,,,,,19946933.0,ns,1180
day 6 part 2,,,,,20936504.0,ns,1239
day 6 part 2,,,,,21958278.0,ns,1298
day 6 part 2,,,,,23016453.0,ns,1357
day 6 part 2,,,,,23906217.0,ns,1416
day 6 part 2,,,,,24824484.0,ns,1475
day 6 part 2,,,,,25893160.0,ns,1534
day 6 part 2,,,,,26919634.0,ns,1593
day 6 part 2,,,,,28011212.0,ns,1652
day 6 part 2,,,,,28921777.0,ns,1711
day 6 part 2,,,,,29931051.0,ns,1770
day 6 part 2,,,,,30836115.0,ns,1829
day 6 part 2,,,,,31863889.0,ns,1888
day 6 part 2,,,,,32964768.0,ns,1947
day 6 part 2,,,,,33903135.0,ns,2006
day 6 part 2,,,,,35072320.0,ns,2065
day 6 part 2,,,,,36082692.0,ns,2124
day 6 part 2,,,,,36884349.0,ns,2183
day 6 part 2,,,,,37616503.0,ns,2242
day 6 part 2,,,,,38848090.0,ns,2301
day 6 part 2,,,,,39897066.0,ns,2360
day 6 part 2,,,,,40852035.0,ns,2419
day 6 part 2,,,,,41759700.0,ns,2478
day 6 part 2,,,,,42543756.0,ns,2537
day 6 part 2,,,,,43683638.0,ns,2596
day 6 part 2,,,,,44735314.0,ns,2655
day 6 part 2,,,,,46131914.0,ns,2714
day 6 part 2,,,,,46784461.0,ns,2773
day 6 part 2,,,,,47774432.0,ns,2832
day 6 part 2,,,,,48750402.0,ns,2891
day 6 part 2,,,,,49858981.0,ns,2950
day 6 part 2,,,,,51090970.0,ns,3009
day 6 part 2,,,,,51952832.0,ns,3068
day 6 part 2,,,,,52880098.0,ns,3127
day 6 part 2,,,,,53829167.0,ns,3186
day 6 part 2,,,,,55144162.0,ns,3245
day 6 part 2,,,,,56162234.0,ns,3304
day 6 part 2,,,,,56788380.0,ns,3363
day 6 part 2,,,,,57915060.0,ns,3422
day 6 part 2,,,,,58811525.0,ns,3481
day 6 part 2,,,,,59671286.0,ns,3540
day 6 part 2,,,,,60636956.0,ns,3599
day 6 part 2,,,,,62439186.0,ns,3658
day 6 part 2,,,,,63134135.0,ns,3717
day 6 part 2,,,,,63786582.0,ns,3776
day 6 part 2,,,,,64654845.0,ns,3835
day 6 part 2,,,,,65669617.0,ns,3894
day 6 part 2,,,,,67155324.0,ns,3953
day 6 part 2,,,,,67770769.0,ns,4012
day 6 part 2,,,,,68486020.0,ns,4071
day 6 part 2,,,,,69472390.0,ns,4130
day 6 part 2,,,,,70657276.0,ns,4189
day 6 part 2,,,,,71288921.0,ns,4248
day 6 part 2,,,,,72645419.0,ns,4307
day 6 part 2,,,,,73764099.0,ns,4366
day 6 part 2,,,,,74246333.0,ns,4425
day 6 part 2,,,,,75344913.0,ns,4484
day 6 part 2,,,,,75718239.0,ns,4543
day 6 part 2,,,,,76933527.0,ns,4602
day 6 part 2,,,,,78525140.0,ns,4661
day 6 part 2,,,,,79720327.0,ns,4720
day 6 part 2,,,,,80972417.0,ns,4779
day 6 part 2,,,,,81633564.0,ns,4838
day 6 part 2,,,,,82825550.0,ns,4897
day 6 part 2,,,,,84002535.0,ns,4956
day 6 part 2,,,,,84637480.0,ns,5015
day 6 part 2,,,,,85567346.0,ns,5074
day 6 part 2,,,,,87070155.0,ns,5133
day 6 part 2,,,,,87975320.0,ns,5192
day 6 part 2,,,,,88436353.0,ns,5251
day 6 part 2,,,,,89471227.0,ns,5310
day 6 part 2,,,,,90939933.0,ns,5369
day 6 part 2,,,,,91704788.0,ns,5428
day 6 part 2,,,,,92842669.0,ns,5487
day 6 part 2,,,,,93780037.0,ns,5546
day 6 part 2,,,,,94777508.0,ns,5605
day 6 part 2,,,,,95942893.0,ns,5664
day 6 part 2,,,,,96857858.0,ns,5723
day 6 part 2,,,,,97386695.0,ns,5782
day 6 part 2,,,,,98824100.0,ns,5841
day 6 part 2,,,,,100680232.0,ns,5900
